Code,TownName
1,Nairobi Metro
2,Nairobi
3,Mombasa
4,Kisumu
5,Nakuru
6,Eldoret
7,Kehancha
8,Ruiru
9,Kikuyu
10,Kangundo-Tala
11,Malindi
12,Naivasha
13,Kitui
14,Machakos
15,Thika
16,Athi River (Mavoko)
17,Karuri
18,Nyeri
19,Kilifi
20,Garissa
21,Vihiga
22,Mumias
23,Bomet
24,Molo
25,Ngong
26,Kitale
27,Litein
28,Limuru
29,Kericho
30,Kimilili
31,Awasi
32,Kakamega
33,Kapsabet
34,Mariakani
35,Kiambu
36,Mandera
37,Nyamira
38,Mwingi
39,Kisii
40,Wajir
41,Rongo
42,Bungoma
43,Ahero
44,Nandi Hills
45,Makuyu
46,Kapenguria
47,Taveta
48,Narok
49,Ol Kalou
50,Kakuma
51,Webuye
52,Malaba
53,Mbita Point
54,Ukunda
55,Wundanyi
56,Busia
57,Runyenjes
58,Migori
59,Malava
60,Suneka
61,Embu
62,Ogembo
63,Homa Bay
64,Lodwar
65,Kitengela
66,Ukwala
67,Keroka
68,Meru
69,Matuu
70,Oyugis
71,Nyahururu
72,Kipkelion
73,Luanda
74,Nanyuki
75,Maua
76,Mtwapa
77,Isiolo
78,Eldama Ravine
79,Voi
80,Siaya
81,Nyansiongo
82,Londiani
83,Iten/Tambach
84,Chuka
85,Malakisi
86,Juja
87,Ongata Rongai
88,Bondo
89,Moyale
90,Maralal
91,Gilgil
92,Nambale
93,Tabaka
94,Muhoroni
95,Kerugoya/Kutus
96,Ugunja
97,Yala
98,Rumuruti
99,Burnt Forest
100,Maragua
101,Kendu Bay
102,Othaya
103,Kwale
